"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"5K";;;
2;"R8,R9,R10,R6,R7,R5";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";6;"33";;;
3;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1.8K";;;
4;"D14,D13,D10,D15,D6,D8,D11,D9,D4,D7,D5,D12";"LED_D3.0mm_Clear";12;"LED";;;
5;"Battery1,Solar_connector1";"AMASS_XT30PW-M_1x02_P2.50mm_Horizontal";2;"~";;;
6;"U1";"TO-220-5_P3.4x3.7mm_StaggerEven_Lead3.8mm_Vertical";1;"LM2941CT_NOPB";;;
7;"D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N5817";;;
8;"C1";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100nF";;;
9;"RV1";"Potentiometer_Bourns_3296Y_Vertical";1;"5K 20T";;;
10;"C4,C3";"CP_Radial_D5.0mm_P2.50mm";2;"100nF";;;
11;"F1";"Fuse_d8.4mm_5.08mm";1;"1 A";;;
12;"D3";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N5239";;;
13;"U2";"TO-92_Inline";1;"LM317L_TO92";;;
14;"SW1";"SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm";1;"SW_SPST";;;
15;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"470";;;
16;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1000";;;
17;"Q1";"TO-92_Inline";1;"2N3904";;;
18;"RV2";"RV_Disc_D15.5mm_W4.5mm_P7.5mm";1;"Varistor";;;
19;"C2";"CP_Radial_D5.0mm_P2.50mm";1;"12 uF 16V";;;
20;"R11";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"13";;;
